Type,Encounter
Hostile Social,A group of racist thugs has an issue with one of your party members because of their appearance
Hostile Social,"Three guards call you to halt, holding a wanted poster that looks a lot like one of your party"
Hostile Social,Some highwaymen demand your money or your life
Hostile Social,"Two groups of people are brawling near an overturned cart, each blaming the other"
Hostile Social,"A giant blocks your path with a makeshift toll gate, demanding an unusual payment"
Hostile Social,A group of drunk soldiers approach and demand you offer some tribute to the king's men
Hostile Social,"A person is tied to a stake and surrounded by a silent mob holding torches, led by a fierce cleric"
Hostile Social,A loud zealot preaching to a mob accuses you of dark heresy against their god
Hostile Social,"A barbarian, delirious with a berserker rage, thinks you are a foul monster to kill"
Hostile Social,A petty nobleman accuses you of not showing the proper due respect and demands satisfaction
Hostile Social,"You stumble across a dead body and a person holding a bloody knife, who says ""It wasn't me!"""
Hostile Social,Someone fleeing from a dozen pursuers begs you for protection against harm
Hostile Social,An old woman with a knife and foul breath asks you to pay tribute to her god
Hostile Social,"Three men eating around a campfire offer you some food, but it's not animal meat they're cooking..."
Hostile Social,"A ghost stands in the middle of the road, wailing"
Hostile Social,"A group of hooded cultists emerge, loudly proclaiming that you are the chosen one"
Hostile Social,"A bard is playing beautiful music to a crowd, but all who listen are quickly under her thrall"
Hostile Social,A wild sorcerer seeks to test a spell on you
Hostile Social,A paladin accuses you of performing evil acts and demands you pay for your sins with blood
Hostile Social,A furious druid has someone trapped in vines and intends to kill them for desecrating the grove
Hostile Social,"A group of Chaos Mutants are attempting to 'bathe' captured villagers in their 'sacred' pool, a few minutes off the trail the party is traveling on. One of the party members hears a villager scream."
Hostile Social,"A small group of Orcs and Goblins are betting on a fight between a Snotling and a Snake. Pennies and few Silver coins are being tossed about with reckless abandon as things continue to get heated. Their raucous cheering and focus on the small battle could allow you sneak up on them, go past them... or set up an ambush."
Hostile Social,"The trees shake and thunder, and part as an ancient 'treeman' steps forth onto the road. They talk slow and deliberately, speaking of 'rivers of black metal men marching', 'so loud and so hasty', curious about what they are but too afraid to ask themselves. The last Chaos army marched by a hundred years ago."
Hostile Social,You are walking through the tall grass when you hear the shrieks of a demigryph. One of its legs seems to be tied to a corpse on the ground. It would seem someone was trying to train and capture the beast and failed. His tools are still lying there with him...
Hostile Social,"The party stumbles across a commotion in front of a small hut. A beautiful innocent looking young woman is gagged and tied to a post, a group of villagers claim she is a witch and are preparing a pyre to burn her. The woman is a witch with the Unnatural Beauty mutation."
Hostile Social,"As you walk through the Forest, the dirt under your feet becomes softer. As your character inspects the area, he finds a spade leaning agains a tree. Something was burried here. Is it a treasure or have you discovered a crime scene? As your character leans towards the soft mound under his feet, an emaciated hand shoots out of the ground."
Hostile Social,A band of 1d5+5 wide-eyed flagellants in filthy brown robes and with wild unkempt hair and beards are following a forest trail that intersects the Character's path. If approached they extol the virtues of the aesthetic life and loudly try to convert the Characters to Sigmar and join their deranged pilgrimage. Refusal is greeted with weeping and gnashing of teeth.
Character Encounter,A bad memory of your family
Character Encounter,A good memory of your family
Character Encounter,A faction you strongly agree with
Character Encounter,A faction you strongly disagree with
Character Encounter,A game you like to play
Character Encounter,A happy moment from your childhood
Character Encounter,A monster you don't believe is real
Character Encounter,A person you are afraid of
Character Encounter,A person you couldn't save
Character Encounter,A person you hate
Character Encounter,A person you love
Character Encounter,A person you respect
Character Encounter,A person you want to meet
Character Encounter,A place you would love to visit
Character Encounter,A sad moment from your childhood
Character Encounter,A time you embarrassed yourself
Character Encounter,A time you got away with something
Character Encounter,A time you got a sibling into trouble
Character Encounter,A time you got really drunk
Character Encounter,A time you hurt someone
Character Encounter,A time you made something
Character Encounter,A time you were afraid
Character Encounter,A time you were heroic
Character Encounter,A time you were powerless
Character Encounter,A time you were proud of someone
Character Encounter,A time you were smarter than everyone else
Character Encounter,Are you a dog person or a cat person?
Character Encounter,Are you closer to your mother or your father?
Character Encounter,Food that you think is disgusting
Character Encounter,Something that happened on your last birthday
Character Encounter,Something you are ashamed of
Character Encounter,Something you are proud of doing
Character Encounter,Something you would love to do
Character Encounter,The best dinner you've ever had
Character Encounter,The best gift you ever received
Character Encounter,The funniest thing you've ever seen
Character Encounter,What are you looking forward to?
Character Encounter,What would you do if you were king?
Character Encounter,What would you do with a million gold pieces?
Character Encounter,Where are your family now?
Character Encounter,Who or what would you die for?
Character Encounter,Who was your first kiss?
Character Encounter,Why are you with the party?
Character Encounter,Why would the party fall apart without you?
Character Encounter,Your favourite story
Character Encounter,Your favourite thing about your hometown
Character Encounter,Your favourite way to relax
Character Encounter,Your greatest achievement
Character Encounter,Your greatest fear
Character Encounter,Your last nightmare
Combat (Aggressive),A fight the party cannot avoid
Combat (Non-committal),A fight the party can avoid
Discovery,An old and ruined tower
Discovery,A burned out home
Discovery,A howling cavern
Discovery,"A small, tightly locked chest"
Discovery,A statue of a good deity
Discovery,A statue of an evil deity
Discovery,A circle of stone pillars
Discovery,A giant tree with far-reaching roots
Discovery,A ruined temple to an unknown god
Discovery,"A cracked, stone fountain filled with a green ooze"
Discovery,A strange pillar carved with bloody runes
Discovery,"A strange, twisted tree"
Discovery,An abandoned wagon and the signs of battle
Discovery,"A small, unlocked hut with a warm hearth"
Discovery,A locked door in the side of a hill
Discovery,A chilling cemetery
Discovery,A locked door in the side of a hill
Discovery,An abandoned ruin of a castle
Discovery,"A wrecked, half-buried pirate ship"
Discovery,A set of steps leading down into a crypt
Discovery,A strange plant with an alluring scent
Discovery,A rusted cauldron still warm to the touch
Discovery,A tiny door in the foot of a tree
Discovery,A beautiful glade with delicious-looking fruit
Discovery,"A sealed, metal coffin"
Discovery,"A twisted pillar with an evil, carved face"
Discovery,A book on a bloody altar
Discovery,A sword impaled in a monstrous stone statue
Discovery,A map pinned to a tree with a black knife
Discovery,A blood-red stone embedded in a twisted tree
Discovery,"A skeleton holding a small, red book"
Discovery,A hole in the ground where singing can be heard
Discovery,A monument to an ancient battle
Discovery,A giant skeleton of a long-dead gargantuan creature
Discovery,A boarded-up house with ghostly wails
Discovery,A stone archway covered in eldritch runes
Discovery,"A pool of sweet, red water"
Discovery,A glade of trees that ooze black sap
Discovery,A collection of life-like humanoid stone statues
Discovery,A secret wishing pool
Discovery,A sleeping dragon
Discovery,A half-buried chest surrounded by skeletons
Discovery,7 rotating pillars of segmented red stone
Discovery,A tree that burns with unnatural green fire
Discovery,The ruins of a magical experiment gone wrong
